Genero;Edad;Nivel de Instrucción;¿Con qué frecuencia compras productos de comerciantes tricicleros?;¿Con qué frecuencia compras productos en tiendas?;¿Considera que los productos ofrecidos por los triciclos comerciales son:;¿Cuánto es su  gasto semanal comprando a comerciantes tricicleros?; ¿En que parroquia vive?;¿Qué tipo de productos suelen comprar más a los comerciantes tricicleros? ;¿Qué tipo de productos/servicios te gustaría ver más en la oferta de los comerciantes tricicleros?
Masculino;41;Educación Superior;Ocasionalmente;Varias veces por semana;Regular;De 5 a 10 dólares;Alajuela;Productos frescos;Productos frescos
Masculino;34;Primaria;Todos los días;Varias veces por semana;Bueno;Más de 30 dólares;Picoazá;Bebidas;Productos frescos
Masculino;34;Secundaria;Varias veces por semana;Varias veces por semana;Bueno;De 5 a 10 dólares;Colón;Bebidas;Productos frescos
Masculino;38;Secundaria;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;Andrés de Vera;Bebidas;Productos frescos
Masculino;25;Educación Superior;Una vez por semana;Varias veces por semana;Bueno;De 5 a 10 dólares;Portoviejo;Productos frescos;Productos frescos
Masculino;36;Primaria;Una vez por semana;Todos los días;Excelente;De 10 a 15 dólares;Andrés de Vera;Bebidas;Productos frescos
Masculino;31;Secundaria;Varias veces por semana;Una vez por semana;Excelente;De 10 a 15 dólares;Colón;Productos frescos;Productos frescos
Masculino;35;Secundaria;Varias veces por semana;Todos los días;Bueno;De 5 a 10 dólares;Francisco Pacheco;Bebidas;Productos frescos
Femenino;38;Secundaria;Ocasionalmente;Todos los días;Bueno;De 15 a 20 dólares;Vivo fuera de Portoviejo;Productos frescos;Productos frescos
Masculino;35;Primaria;Una vez por semana;Todos los días;Regular;Más de 50 dólares;Picoazá;Productos frescos;Productos frescos
Masculino;22;Secundaria;Varias veces por semana;Ocasionalmente;Bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos frescos
Masculino;20;Educación Superior;Ocasionalmente;Todos los días;Bueno;De 5 a 10 dólares;Portoviejo;Bebidas;Productos frescos
Femenino;24;Secundaria;Una vez por semana;Varias veces por semana;Muy bueno;De 5 a 10 dólares;San Pablo;Productos frescos;Productos de aseo
Masculino;21;secundaria;Varias veces por semana;Todos los días;Muy bueno;De 5 a 10 dólares;Portoviejo;Productos de aseo;Productos frescos
Masculino;38;Secundaria;Ocasionalmente;Una vez por semana;Bueno;De 10 a 15 dólares;San Pablo;Productos frescos;Productos frescos
Masculino;45;Secundaria;Varias veces por semana;Ocasionalmente;Bueno;De 5 a 10 dólares;18 de Octubre;Productos frescos;Productos frescos
Femenino;27;Secundaria;Varias veces por semana;Todos los días;Muy bueno;De 15 a 20 dólares;San Pablo;Productos frescos;Productos frescos
Femenino;25;Secundaria;Varias veces por semana;Varias veces por semana;Bueno;De 15 a 20 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;27;Secundaria;Todos los días;Ocasionalmente;Muy bueno;De 15 a 20 dólares;Simón Bolívar;Productos frescos;Productos frescos
Femenino;54;Primaria;Varias veces por semana;Varias veces por semana;Excelente;De 5 a 10 dólares;Colón;Bebidas;Productos frescos
Femenino;43;Primaria;Una vez por semana;Todos los días;Regular;De 5 a 10 dólares;12 de Marzo;Productos de aseo;Productos frescos
Femenino;26;Secundaria;Una vez por semana;Una vez por semana;Regular;De 10 a 15 dólares;Picoazá;Productos frescos;Productos frescos
Masculino;26;Secundaria;Varias veces por semana;Una vez por semana;Bueno;De 15 a 20 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;77;Primaria;Varias veces por semana;Varias veces por semana;Bueno;De 15 a 20 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;42;Primaria;Una vez por semana;Todos los días;Muy bueno;De 10 a 15 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;56;Secundaria;Todos los días;Todos los días;Muy bueno;De 15 a 20 dólares;San Pablo;Productos frescos;Productos frescos
Femenino;62;Educación Superior;Una vez por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Andrés de Vera;Productos frescos;Productos frescos
Femenino;70;Primaria;Una vez por semana;Una vez por semana;Muy bueno;De 5 a 10 dólares;Picoazá;Bebidas;Productos frescos
Femenino;55;Primaria;Una vez por semana;Varias veces por semana;Regular;De 10 a 15 dólares;Picoazá;Bebidas;Productos frescos
Femenino;20;Educación Superior;Ocasionalmente;Todos los días;Regular;De 5 a 10 dólares;Picoazá;Productos frescos;Productos frescos
Femenino;32;Secundaria;Varias veces por semana;Todos los días;Muy bueno;De 5 a 10 dólares;Andrés de Vera;Bebidas;Productos frescos
Femenino;40;Educación Superior;Varias veces por semana;Una vez por semana;Bueno;De 5 a 10 dólares;Colón;Productos frescos;Productos frescos
